codigo_comuna,nombre_comuna,codigo_provincia,codigo_region,nombre_region
8301,LOS ÁNGELES,83,8,Biobío
8302,ANTUCO,83,8,Biobío
8303,CABRERO,83,8,Biobío
8304,LAJA,83,8,Biobío
8305,MULCHÉN,83,8,Biobío
8306,NACIMIENTO,83,8,Biobío
8307,NEGRETE,83,8,Biobío
8308,QUILACO,83,8,Biobío
8309,QUILLECO,83,8,Biobío
8310,SAN ROSENDO,83,8,Biobío
8311,SANTA BÁRBARA,83,8,Biobío
8312,TUCAPEL,83,8,Biobío
8313,YUMBEL,83,8,Biobío
8314,ALTO BIOBÍO,83,8,Biobío
9101,TEMUCO,91,9,La Araucanía
9102,CARAHUE,91,9,La Araucanía
9103,CUNCO,91,9,La Araucanía
9104,CURARREHUE,91,9,La Araucanía
9105,FREIRE,91,9,La Araucanía
9106,GALVARINO,91,9,La Araucanía
9107,GORBEA,91,9,La Araucanía
9108,LAUTARO,91,9,La Araucanía
9109,LONCOCHE,91,9,La Araucanía
9110,MELIPEUCO,91,9,La Araucanía
9111,NUEVA IMPERIAL,91,9,La Araucanía
9112,PADRE LAS CASAS,91,9,La Araucanía
9113,PERQUENCO,91,9,La Araucanía
9114,PITRUFQUÉN,91,9,La Araucanía
9115,PUCÓN,91,9,La Araucanía
9116,SAAVEDRA,91,9,La Araucanía
9117,TEODORO SCHMIDT,91,9,La Araucanía
9118,TOLTÉN,91,9,La Araucanía
9119,VILCÚN,91,9,La Araucanía
9120,VILLARRICA,91,9,La Araucanía
9121,CHOLCHOL,91,9,La Araucanía
9201,ANGOL,92,9,La Araucanía
9202,COLLIPULLI,92,9,La Araucanía
9203,CURACAUTÍN,92,9,La Araucanía
9204,ERCILLA,92,9,La Araucanía
9205,LONQUIMAY,92,9,La Araucanía
9206,LOS SAUCES,92,9,La Araucanía
9207,LUMACO,92,9,La Araucanía
9208,PURÉN,92,9,La Araucanía
9209,RENAICO,92,9,La Araucanía
9210,TRAIGUÉN,92,9,La Araucanía
9211,VICTORIA,92,9,La Araucanía
10101,PUERTO MONTT,101,10,Los Lagos
10102,CALBUCO,101,10,Los Lagos
10103,COCHAMÓ,101,10,Los Lagos
10104,FRESIA,101,10,Los Lagos
10105,FRUTILLAR,101,10,Los Lagos
10106,LOS MUERMOS,101,10,Los Lagos
10107,LLANQUIHUE,101,10,Los Lagos
10108,MAULLÍN,101,10,Los Lagos
10109,PUERTO VARAS,101,10,Los Lagos
10201,CASTRO,102,10,Los Lagos
10202,ANCUD,102,10,Los Lagos
10203,CHONCHI,102,10,Los Lagos
10204,CURACO DE VÉLEZ,102,10,Los Lagos
10205,DALCAHUE,102,10,Los Lagos
10206,PUQUELDÓN,102,10,Los Lagos
10207,QUEILÉN,102,10,Los Lagos
10208,QUELLÓN,102,10,Los Lagos
10209,QUEMCHI,102,10,Los Lagos
10210,QUINCHAO,102,10,Los Lagos
10301,OSORNO,103,10,Los Lagos
10302,PUERTO OCTAY,103,10,Los Lagos
10303,PURRANQUE,103,10,Los Lagos
10304,PUYEHUE,103,10,Los Lagos
10305,RÍO NEGRO,103,10,Los Lagos
10306,SAN JUAN DE LA COSTA,103,10,Los Lagos
10307,SAN PABLO,103,10,Los Lagos
10401,CHAITÉN,104,10,Los Lagos
10402,FUTALEUFÚ,104,10,Los Lagos
10403,HUALAIHUÉ,104,10,Los Lagos
10404,PALENA,104,10,Los Lagos
11101,COIHAIQUE,111,11,Aysén del General Carlos Ibáñez del Campo
11102,LAGO VERDE,111,11,Aysén del General Carlos Ibáñez del Campo
11201,AISÉN,112,11,Aysén del General Carlos Ibáñez del Campo
11202,CISNES,112,11,Aysén del General Carlos Ibáñez del Campo
11203,GUAITECAS,112,11,Aysén del General Carlos Ibáñez del Campo
11301,COCHRANE,113,11,Aysén del General Carlos Ibáñez del Campo
11302,O´HIGGINS,113,11,Aysén del General Carlos Ibáñez del Campo
11303,TORTEL,113,11,Aysén del General Carlos Ibáñez del Campo
11401,CHILE CHICO,114,11,Aysén del General Carlos Ibáñez del Campo
11402,RÍO IBÁÑEZ,114,11,Aysén del General Carlos Ibáñez del Campo
12101,PUNTA ARENAS,121,12,Magallanes y de la Antártica Chilena
12102,LAGUNA BLANCA,121,12,Magallanes y de la Antártica Chilena
12103,RÍO VERDE,121,12,Magallanes y de la Antártica Chilena
12104,SAN GREGORIO,121,12,Magallanes y de la Antártica Chilena
12201,CABO DE HORNOS,122,12,Magallanes y de la Antártica Chilena
12202,ANTARTICA,122,12,Magallanes y de la Antártica Chilena
12301,PORVENIR,123,12,Magallanes y de la Antártica Chilena
12302,PRIMAVERA,123,12,Magallanes y de la Antártica Chilena
12303,TIMAUKEL,123,12,Magallanes y de la Antártica Chilena
12401,NATALES,124,12,Magallanes y de la Antártica Chilena
12402,TORRES DEL PAINE,124,12,Magallanes y de la Antártica Chilena
13101,SANTIAGO,131,13,Metropolitana de Santiago
13102,CERRILLOS,131,13,Metropolitana de Santiago
13103,CERRO NAVIA,131,13,Metropolitana de Santiago
13104,CONCHALÍ,131,13,Metropolitana de Santiago
13105,EL BOSQUE,131,13,Metropolitana de Santiago
13106,ESTACIÓN CENTRAL,131,13,Metropolitana de Santiago
13107,HUECHURABA,131,13,Metropolitana de Santiago
13108,INDEPENDENCIA,131,13,Metropolitana de Santiago
13109,LA CISTERNA,131,13,Metropolitana de Santiago
13110,LA FLORIDA,131,13,Metropolitana de Santiago
13111,LA GRANJA,131,13,Metropolitana de Santiago
13112,LA PINTANA,131,13,Metropolitana de Santiago
13113,LA REINA,131,13,Metropolitana de Santiago
13114,LAS CONDES,131,13,Metropolitana de Santiago
13115,LO BARNECHEA,131,13,Metropolitana de Santiago
13116,LO ESPEJO,131,13,Metropolitana de Santiago
13117,LO PRADO,131,13,Metropolitana de Santiago
13118,MACUL,131,13,Metropolitana de Santiago
13119,MAIPÚ,131,13,Metropolitana de Santiago
13120,ÑUÑOA,131,13,Metropolitana de Santiago
13121,PEDRO AGUIRRE CERDA,131,13,Metropolitana de Santiago
13122,PEÑALOLÉN,131,13,Metropolitana de Santiago
13123,PROVIDENCIA,131,13,Metropolitana de Santiago
13124,PUDAHUEL,131,13,Metropolitana de Santiago
13125,QUILICURA,131,13,Metropolitana de Santiago
13126,QUINTA NORMAL,131,13,Metropolitana de Santiago
13127,RECOLETA,131,13,Metropolitana de Santiago
13128,RENCA,131,13,Metropolitana de Santiago
13129,SAN JOAQUÍN,131,13,Metropolitana de Santiago
13130,SAN MIGUEL,131,13,Metropolitana de Santiago
13131,SAN RAMÓN,131,13,Metropolitana de Santiago
13132,VITACURA,131,13,Metropolitana de Santiago
13201,PUENTE ALTO,132,13,Metropolitana de Santiago
13202,PIRQUE,132,13,Metropolitana de Santiago
13203,SAN JOSÉ DE MAIPO,132,13,Metropolitana de Santiago
13301,COLINA,133,13,Metropolitana de Santiago
13302,LAMPA,133,13,Metropolitana de Santiago
13303,TILTIL,133,13,Metropolitana de Santiago
13401,SAN BERNARDO,134,13,Metropolitana de Santiago
13402,BUIN,134,13,Metropolitana de Santiago
13403,CALERA DE TANGO,134,13,Metropolitana de Santiago
13404,PAINE,134,13,Metropolitana de Santiago
13501,MELIPILLA,135,13,Metropolitana de Santiago
13502,ALHUÉ,135,13,Metropolitana de Santiago
13503,CURACAVÍ,135,13,Metropolitana de Santiago
13504,MARÍA PINTO,135,13,Metropolitana de Santiago
13505,SAN PEDRO,135,13,Metropolitana de Santiago
13601,TALAGANTE,136,13,Metropolitana de Santiago
13602,EL MONTE,136,13,Metropolitana de Santiago
13603,ISLA DE MAIPO,136,13,Metropolitana de Santiago
13604,PADRE HURTADO,136,13,Metropolitana de Santiago
13605,PEÑAFLOR,136,13,Metropolitana de Santiago
14101,VALDIVIA,141,14,Los Ríos
14102,CORRAL,141,14,Los Ríos
14103,LANCO,141,14,Los Ríos
14104,LOS LAGOS,141,14,Los Ríos
14105,MÁFIL,141,14,Los Ríos
14106,MARIQUINA,141,14,Los Ríos
14107,PAILLACO,141,14,Los Ríos
14108,PANGUIPULLI,141,14,Los Ríos
14201,LA UNIÓN,142,14,Los Ríos
14202,FUTRONO,142,14,Los Ríos
14203,LAGO RANCO,142,14,Los Ríos
14204,RÍO BUENO,142,14,Los Ríos
15101,ARICA,151,15,Arica y Parinacota
15102,CAMARONES,151,15,Arica y Parinacota
15201,PUTRE,152,15,Arica y Parinacota
15202,GENERAL LAGOS,152,15,Arica y Parinacota
16101,CHILLÁN,161,16,Ñuble
16102,BULNES,161,16,Ñuble
16103,CHILLÁN VIEJO,161,16,Ñuble
16104,EL CARMEN,161,16,Ñuble
16105,PEMUCO,161,16,Ñuble
16106,PINTO,161,16,Ñuble
16107,QUILLÓN,161,16,Ñuble
16108,SAN IGNACIO,161,16,Ñuble
16109,YUNGAY,161,16,Ñuble
16201,QUIRIHUE,162,16,Ñuble
16202,COBQUECURA,162,16,Ñuble
16203,COELEMU,162,16,Ñuble
16204,NINHUE,162,16,Ñuble
16205,PORTEZUELO,162,16,Ñuble
16206,RÁNQUIL,162,16,Ñuble
16207,TREGUACO,162,16,Ñuble
16301,SAN CARLOS,163,16,Ñuble
16302,COIHUECO,163,16,Ñuble
16303,ÑIQUÉN,163,16,Ñuble
16304,SAN FABIÁN,163,16,Ñuble
16305,SAN NICOLÁS,163,16,Ñuble
